INDIVIDUAL THRESHOLD GRID SEARCH RESULTS
============================================================
Dataset: Training set

Best thresholds: thres1=0.55, thres2=0.30, thres3=0.25
Best Macro F1: 0.5466
Best Accuracy: 0.6831

All results:
------------------------------------------------------------
thres1=0.60, thres2=0.25, thres3=0.15: Accuracy=0.6628, MF1=0.5318
thres1=0.50, thres2=0.35, thres3=0.20: Accuracy=0.6872, MF1=0.5317
thres1=0.40, thres2=0.25, thres3=0.20: Accuracy=0.6310, MF1=0.5316
thres1=0.40, thres2=0.25, thres3=0.30: Accuracy=0.6297, MF1=0.5315
thres1=0.65, thres2=0.25, thres3=0.25: Accuracy=0.6575, MF1=0.5314
thres1=0.45, thres2=0.30, thres3=0.40: Accuracy=0.6630, MF1=0.5309
thres1=0.60, thres2=0.30, thres3=0.15: Accuracy=0.6817, MF1=0.5308
thres1=0.65, thres2=0.30, thres3=0.35: Accuracy=0.6755, MF1=0.5307
thres1=0.55, thres2=0.35, thres3=0.40: Accuracy=0.6903, MF1=0.5305
thres1=0.60, thres2=0.35, thres3=0.20: Accuracy=0.6931, MF1=0.5303
thres1=0.40, thres2=0.30, thres3=0.20: Accuracy=0.6499, MF1=0.5300
thres1=0.65, thres2=0.25, thres3=0.30: Accuracy=0.6568, MF1=0.5298
thres1=0.65, thres2=0.25, thres3=0.20: Accuracy=0.6578, MF1=0.5295
thres1=0.45, thres2=0.25, thres3=0.40: Accuracy=0.6439, MF1=0.5295
thres1=0.45, thres2=0.35, thres3=0.35: Accuracy=0.6743, MF1=0.5294
thres1=0.50, thres2=0.20, thres3=0.25: Accuracy=0.6233, MF1=0.5294
thres1=0.50, thres2=0.35, thres3=0.40: Accuracy=0.6845, MF1=0.5293
thres1=0.55, thres2=0.30, thres3=0.45: Accuracy=0.6786, MF1=0.5293
thres1=0.60, thres2=0.25, thres3=0.40: Accuracy=0.6600, MF1=0.5290
thres1=0.65, thres2=0.35, thres3=0.30: Accuracy=0.6871, MF1=0.5288
thres1=0.45, thres2=0.30, thres3=0.15: Accuracy=0.6650, MF1=0.5287
thres1=0.50, thres2=0.30, thres3=0.45: Accuracy=0.6731, MF1=0.5285
thres1=0.65, thres2=0.35, thres3=0.25: Accuracy=0.6877, MF1=0.5285
thres1=0.40, thres2=0.30, thres3=0.35: Accuracy=0.6476, MF1=0.5283
thres1=0.50, thres2=0.20, thres3=0.20: Accuracy=0.6237, MF1=0.5282
thres1=0.60, thres2=0.35, thres3=0.40: Accuracy=0.6906, MF1=0.5280
thres1=0.55, thres2=0.20, thres3=0.25: Accuracy=0.6278, MF1=0.5277
thres1=0.40, thres2=0.25, thres3=0.35: Accuracy=0.6286, MF1=0.5275
thres1=0.50, thres2=0.20, thres3=0.30: Accuracy=0.6224, MF1=0.5273
thres1=0.45, thres2=0.35, thres3=0.20: Accuracy=0.6758, MF1=0.5268
thres1=0.45, thres2=0.20, thres3=0.25: Accuracy=0.6131, MF1=0.5268
thres1=0.55, thres2=0.40, thres3=0.30: Accuracy=0.6978, MF1=0.5264
thres1=0.55, thres2=0.20, thres3=0.20: Accuracy=0.6282, MF1=0.5264
thres1=0.50, thres2=0.25, thres3=0.45: Accuracy=0.6536, MF1=0.5263
thres1=0.60, thres2=0.30, thres3=0.45: Accuracy=0.6788, MF1=0.5261
thres1=0.55, thres2=0.25, thres3=0.45: Accuracy=0.6587, MF1=0.5261
thres1=0.65, thres2=0.35, thres3=0.35: Accuracy=0.6861, MF1=0.5261
thres1=0.65, thres2=0.25, thres3=0.35: Accuracy=0.6558, MF1=0.5260
thres1=0.55, thres2=0.20, thres3=0.30: Accuracy=0.6270, MF1=0.5256
thres1=0.45, thres2=0.20, thres3=0.20: Accuracy=0.6136, MF1=0.5256
thres1=0.65, thres2=0.30, thres3=0.40: Accuracy=0.6743, MF1=0.5253
thres1=0.50, thres2=0.40, thres3=0.30: Accuracy=0.6920, MF1=0.5251
thres1=0.55, thres2=0.40, thres3=0.35: Accuracy=0.6968, MF1=0.5248
thres1=0.40, thres2=0.25, thres3=0.15: Accuracy=0.6306, MF1=0.5247
thres1=0.45, thres2=0.20, thres3=0.30: Accuracy=0.6122, MF1=0.5247
thres1=0.45, thres2=0.35, thres3=0.40: Accuracy=0.6730, MF1=0.5244
thres1=0.55, thres2=0.40, thres3=0.25: Accuracy=0.6979, MF1=0.5243
thres1=0.60, thres2=0.40, thres3=0.30: Accuracy=0.6981, MF1=0.5242
thres1=0.40, thres2=0.35, thres3=0.30: Accuracy=0.6588, MF1=0.5239
thres1=0.55, thres2=0.35, thres3=0.15: Accuracy=0.6884, MF1=0.5238
thres1=0.45, thres2=0.30, thres3=0.45: Accuracy=0.6617, MF1=0.5238
thres1=0.55, thres2=0.35, thres3=0.45: Accuracy=0.6889, MF1=0.5238
thres1=0.40, thres2=0.35, thres3=0.25: Accuracy=0.6595, MF1=0.5237
thres1=0.50, thres2=0.40, thres3=0.35: Accuracy=0.6910, MF1=0.5235
thres1=0.65, thres2=0.35, thres3=0.20: Accuracy=0.6873, MF1=0.5233
thres1=0.50, thres2=0.20, thres3=0.35: Accuracy=0.6213, MF1=0.5232
thres1=0.50, thres2=0.40, thres3=0.25: Accuracy=0.6922, MF1=0.5230
thres1=0.65, thres2=0.30, thres3=0.15: Accuracy=0.6757, MF1=0.5230
thres1=0.50, thres2=0.35, thres3=0.15: Accuracy=0.6829, MF1=0.5229
thres1=0.65, thres2=0.25, thres3=0.15: Accuracy=0.6571, MF1=0.5229
thres1=0.40, thres2=0.30, thres3=0.40: Accuracy=0.6464, MF1=0.5227
thres1=0.60, thres2=0.40, thres3=0.35: Accuracy=0.6972, MF1=0.5226
thres1=0.50, thres2=0.35, thres3=0.45: Accuracy=0.6832, MF1=0.5226
thres1=0.60, thres2=0.20, thres3=0.25: Accuracy=0.6282, MF1=0.5225
thres1=0.50, thres2=0.20, thres3=0.15: Accuracy=0.6235, MF1=0.5223
thres1=0.45, thres2=0.25, thres3=0.45: Accuracy=0.6425, MF1=0.5223
thres1=0.60, thres2=0.40, thres3=0.25: Accuracy=0.6982, MF1=0.5221
thres1=0.60, thres2=0.25, thres3=0.45: Accuracy=0.6587, MF1=0.5219
thres1=0.70, thres2=0.30, thres3=0.25: Accuracy=0.6658, MF1=0.5217
thres1=0.35, thres2=0.25, thres3=0.25: Accuracy=0.6089, MF1=0.5216
thres1=0.40, thres2=0.25, thres3=0.40: Accuracy=0.6274, MF1=0.5216
thres1=0.55, thres2=0.20, thres3=0.35: Accuracy=0.6259, MF1=0.5215
thres1=0.55, thres2=0.30, thres3=0.50: Accuracy=0.6773, MF1=0.5214
thres1=0.60, thres2=0.35, thres3=0.45: Accuracy=0.6892, MF1=0.5214
thres1=0.65, thres2=0.35, thres3=0.40: Accuracy=0.6849, MF1=0.5212
thres1=0.60, thres2=0.20, thres3=0.20: Accuracy=0.6285, MF1=0.5211
thres1=0.35, thres2=0.30, thres3=0.25: Accuracy=0.6279, MF1=0.5211
thres1=0.40, thres2=0.35, thres3=0.35: Accuracy=0.6577, MF1=0.5211
thres1=0.60, thres2=0.35, thres3=0.15: Accuracy=0.6886, MF1=0.5210
thres1=0.70, thres2=0.30, thres3=0.30: Accuracy=0.6652, MF1=0.5209
thres1=0.45, thres2=0.20, thres3=0.35: Accuracy=0.6112, MF1=0.5206
thres1=0.50, thres2=0.30, thres3=0.50: Accuracy=0.6718, MF1=0.5206
thres1=0.55, thres2=0.40, thres3=0.40: Accuracy=0.6956, MF1=0.5206
thres1=0.40, thres2=0.30, thres3=0.15: Accuracy=0.6485, MF1=0.5206
thres1=0.55, thres2=0.20, thres3=0.15: Accuracy=0.6279, MF1=0.5206
thres1=0.60, thres2=0.20, thres3=0.30: Accuracy=0.6274, MF1=0.5205
thres1=0.65, thres2=0.25, thres3=0.40: Accuracy=0.6546, MF1=0.5203
thres1=0.55, thres2=0.45, thres3=0.10: Accuracy=0.6740, MF1=0.5203
thres1=0.50, thres2=0.45, thres3=0.10: Accuracy=0.6688, MF1=0.5203
