THRESHOLD SWEEP RESULTS
============================================================

Best threshold: λ = 0.35
Best Macro F1: 0.4861
Best Accuracy: 0.6262

All results:
------------------------------------------------------------
λ=0.35: Accuracy=0.6262, MF1=0.4861
λ=0.30: Accuracy=0.6057, MF1=0.4854
λ=0.40: Accuracy=0.6405, MF1=0.4824
λ=0.25: Accuracy=0.5761, MF1=0.4768
λ=0.45: Accuracy=0.6512, MF1=0.4754
λ=0.50: Accuracy=0.6591, MF1=0.4667
λ=0.55: Accuracy=0.6650, MF1=0.4578
λ=0.20: Accuracy=0.5346, MF1=0.4576
λ=0.60: Accuracy=0.6682, MF1=0.4467
λ=0.65: Accuracy=0.6690, MF1=0.4333
λ=0.15: Accuracy=0.4745, MF1=0.4220
λ=0.70: Accuracy=0.6668, MF1=0.4181
λ=0.75: Accuracy=0.6608, MF1=0.4003
λ=0.80: Accuracy=0.6480, MF1=0.3767
λ=0.10: Accuracy=0.3915, MF1=0.3634
λ=0.85: Accuracy=0.6271, MF1=0.3464
λ=0.90: Accuracy=0.5967, MF1=0.3073
